iter	Passed	Remaining
898	1704	191
899	1705	189
900	1706	187
901	1707	185
902	1708	183
903	1709	181
904	1711	179
905	1712	177
906	1713	175
907	1714	173
908	1715	171
909	1716	169
910	1717	167
911	1718	165
912	1719	163
913	1721	161
914	1722	159
915	1723	158
916	1724	156
917	1725	154
918	1726	152
919	1727	150
920	1729	148
921	1730	146
922	1731	144
923	1732	142
924	1733	140
925	1735	138
926	1736	136
927	1737	134
928	1738	132
929	1739	130
930	1740	129
931	1741	127
932	1742	125
933	1744	123
934	1745	121
935	1746	119
936	1747	117
937	1748	115
938	1749	113
939	1750	111
940	1751	109
941	1753	107
942	1754	106
943	1755	104
944	1756	102
945	1757	100
946	1758	98
947	1759	96
948	1761	94
949	1762	92
950	1763	90
951	1764	88
952	1765	87
953	1766	85
954	1768	83
955	1769	81
956	1770	79
957	1771	77
958	1772	75
959	1774	73
960	1775	72
961	1776	70
962	1777	68
963	1778	66
964	1779	64
965	1780	62
966	1781	60
967	1782	58
968	1783	57
969	1784	55
970	1786	53
971	1787	51
972	1788	49
973	1789	47
974	1790	45
975	1791	44
976	1793	42
977	1794	40
978	1795	38
979	1796	36
980	1797	34
981	1798	32
982	1799	31
983	1800	29
984	1801	27
985	1803	25
986	1804	23
987	1805	21
988	1806	20
989	1807	18
990	1809	16
991	1810	14
992	1811	12
993	1812	10
994	1814	9
995	1815	7
996	1816	5
997	1817	3
998	1818	1
999	1819	0
